objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Crash Octopus","319579","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957309","6.00687","6.89511","1.3667","3166","2777","thing","Crash Octopus","1","5","30","30","20","2021","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ctrl","304679","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959367","5.52406","5.68447","1.6154","18454","1606","thing","Ctrl","2","4","20","20","20","2020","2,3,4","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Darwin's Journey","322289","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959683","7.63364","8.08725","3.904","90","17510","thing","Darwin's Journey","1","4","120","120","60","2023","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Deal with the Devil","367379","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","111957170","6.0482","7.04959","3.7241","2961","3233","thing","Deal with the Devil","4","4","150","150","120","2022","4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Deal with the Devil","367379","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957268","6.0482","7.04959","3.7241","2961","3233","thing","Deal with the Devil","4","4","150","150","120","2022","4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Décorum","344554","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957493","6.48806","7.35188","2","1376","5274","thing","Décorum","2","4","45","45","30","2022","2,3,4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Durian","307963","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959599","6.11108","6.88324","1.119","2633","3699","thing","Durian","2","7","20","20","20","2020","4,5,6,7","5,6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Earth","350184","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957225","7.35283","7.61185","2.9152","212","36010","thing","Earth","1","5","90","90","45","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Evergreen","363307","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","114644874","6.74908","7.45015","2.1339","841","7403","thing","Evergreen","1","4","45","45","45","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fafnir","294233","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959607","5.62711","6.27767","1.6364","8317","1315","thing","Fafnir","2","4","20","20","20","2019","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959542","6.79448","7.10093","1.0947","769","21211","thing","A Fake Artist Goes to New York","5","10","20","20","20","2011","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fit to Print","352574","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957533","6.6312","7.29803","2.1209","1053","10098","thing","Fit to Print","1","6","30","30","15","2023","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flamecraft","336986","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957539","7.0855","7.36239","2.1875","409","47332","thing","Flamecraft","1","5","60","60","60","2022","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Food Chain Magnate","175914","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957216","7.77311","8.03437","4.183","51","28776","thing","Food Chain Magnate","2","5","240","240","120","2015","2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
